"REF_DATE","GEO","DGUID","Indicators","Domain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Canada","2016A000011124","Gross domestic product","Photography","Dollars","81","thousands","3","v1277496836","1.1.13","300796","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Photography","Dollars","81","thousands","3","v1277496836","1.1.13","305829","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Photography","Dollars","81","thousands","3","v1277496836","1.1.13","308925","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Photography","Dollars","81","thousands","3","v1277496836","1.1.13","314192","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Photography","Dollars","81","thousands","3","v1277496836","1.1.13","320186","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Crafts","Dollars","81","thousands","3","v1277496837","1.1.14","672721","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Crafts","Dollars","81","thousands","3","v1277496837","1.1.14","666314","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Crafts","Dollars","81","thousands","3","v1277496837","1.1.14","676308","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Crafts","Dollars","81","thousands","3","v1277496837","1.1.14","675504","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Crafts","Dollars","81","thousands","3","v1277496837","1.1.14","685871","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Advertising","Dollars","81","thousands","3","v1277496838","1.1.15","852870","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Advertising","Dollars","81","thousands","3","v1277496838","1.1.15","865899","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Advertising","Dollars","81","thousands","3","v1277496838","1.1.15","874258","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Advertising","Dollars","81","thousands","3","v1277496838","1.1.15","878750","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Advertising","Dollars","81","thousands","3","v1277496838","1.1.15","880287","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Architecture","Dollars","81","thousands","3","v1277496839","1.1.16","637278","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Architecture","Dollars","81","thousands","3","v1277496839","1.1.16","649948","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Architecture","Dollars","81","thousands","3","v1277496839","1.1.16","658366","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Architecture","Dollars","81","thousands","3","v1277496839","1.1.16","666489","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Architecture","Dollars","81","thousands","3","v1277496839","1.1.16","673937","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Design","Dollars","81","thousands","3","v1277496840","1.1.17","1020016","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Design","Dollars","81","thousands","3","v1277496840","1.1.17","1037502","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Design","Dollars","81","thousands","3","v1277496840","1.1.17","1040601","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Design","Dollars","81","thousands","3","v1277496840","1.1.17","1041163","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Design","Dollars","81","thousands","3","v1277496840","1.1.17","1043257","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Written and published works","Dollars","81","thousands","3","v1277496841","1.1.18","1924907","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Written and published works","Dollars","81","thousands","3","v1277496841","1.1.18","1945394","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Written and published works","Dollars","81","thousands","3","v1277496841","1.1.18","1927507","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Written and published works","Dollars","81","thousands","3","v1277496841","1.1.18","1914986","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Written and published works","Dollars","81","thousands","3","v1277496841","1.1.18","1895788","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Books","Dollars","81","thousands","3","v1277496842","1.1.19","275724","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Books","Dollars","81","thousands","3","v1277496842","1.1.19","267115","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Books","Dollars","81","thousands","3","v1277496842","1.1.19","261830","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Books","Dollars","81","thousands","3","v1277496842","1.1.19","262059","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Books","Dollars","81","thousands","3","v1277496842","1.1.19","259854","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Periodicals","Dollars","81","thousands","3","v1277496843","1.1.20","214912","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Periodicals","Dollars","81","thousands","3","v1277496843","1.1.20","207585","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Periodicals","Dollars","81","thousands","3","v1277496843","1.1.20","204404","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Periodicals","Dollars","81","thousands","3","v1277496843","1.1.20","202994","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Periodicals","Dollars","81","thousands","3","v1277496843","1.1.20","204295","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Newspapers","Dollars","81","thousands","3","v1277496844","1.1.21","286183","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Newspapers","Dollars","81","thousands","3","v1277496844","1.1.21","286766","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Newspapers","Dollars","81","thousands","3","v1277496844","1.1.21","292012","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Newspapers","Dollars","81","thousands","3","v1277496844","1.1.21","294849","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Newspapers","Dollars","81","thousands","3","v1277496844","1.1.21","290526","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Other published works","Dollars","81","thousands","3","v1277496845","1.1.22","22170","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Other published works","Dollars","81","thousands","3","v1277496845","1.1.22","21292","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Other published works","Dollars","81","thousands","3","v1277496845","1.1.22","20986","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Other published works","Dollars","81","thousands","3","v1277496845","1.1.22","20940","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Other published works","Dollars","81","thousands","3","v1277496845","1.1.22","21279","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Collected information","Dollars","81","thousands","3","v1277496846","1.1.23","124177","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Collected information","Dollars","81","thousands","3","v1277496846","1.1.23","122505","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Collected information","Dollars","81","thousands","3","v1277496846","1.1.23","122695","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Collected information","Dollars","81","thousands","3","v1277496846","1.1.23","122277","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Collected information","Dollars","81","thousands","3","v1277496846","1.1.23","122860","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Multi sub-domain","Dollars","81","thousands","3","v1277496847","1.1.24","1001740","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Multi sub-domain","Dollars","81","thousands","3","v1277496847","1.1.24","1040131","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Multi sub-domain","Dollars","81","thousands","3","v1277496847","1.1.24","1025581","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Multi sub-domain","Dollars","81","thousands","3","v1277496847","1.1.24","1011866","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Multi sub-domain","Dollars","81","thousands","3","v1277496847","1.1.24","996974","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Audio-visual and interactive media","Dollars","81","thousands","3","v1277496848","1.1.25","4826036","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Audio-visual and interactive media","Dollars","81","thousands","3","v1277496848","1.1.25","4866576","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Audio-visual and interactive media","Dollars","81","thousands","3","v1277496848","1.1.25","4860376","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Audio-visual and interactive media","Dollars","81","thousands","3","v1277496848","1.1.25","4855290","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Audio-visual and interactive media","Dollars","81","thousands","3","v1277496848","1.1.25","4847606","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Film and video","Dollars","81","thousands","3","v1277496849","1.1.26","1104738","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Film and video","Dollars","81","thousands","3","v1277496849","1.1.26","1124845","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Film and video","Dollars","81","thousands","3","v1277496849","1.1.26","1117035","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Film and video","Dollars","81","thousands","3","v1277496849","1.1.26","1100021","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Film and video","Dollars","81","thousands","3","v1277496849","1.1.26","1052340","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Broadcasting","Dollars","81","thousands","3","v1277496850","1.1.27","2731158","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Broadcasting","Dollars","81","thousands","3","v1277496850","1.1.27","2744425","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Broadcasting","Dollars","81","thousands","3","v1277496850","1.1.27","2753385","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Broadcasting","Dollars","81","thousands","3","v1277496850","1.1.27","2767427","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Broadcasting","Dollars","81","thousands","3","v1277496850","1.1.27","2793844","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Interactive media","Dollars","81","thousands","3","v1277496851","1.1.28","990140","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Interactive media","Dollars","81","thousands","3","v1277496851","1.1.28","997307","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Interactive media","Dollars","81","thousands","3","v1277496851","1.1.28","989957","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Interactive media","Dollars","81","thousands","3","v1277496851","1.1.28","987842","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Interactive media","Dollars","81","thousands","3","v1277496851","1.1.28","1001423","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496852","1.1.29","131526","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496852","1.1.29","134079","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496852","1.1.29","135197","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496852","1.1.29","137805","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496852","1.1.29","139514","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Music publishing","Dollars","81","thousands","3","v1277496853","1.1.30","40865","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Music publishing","Dollars","81","thousands","3","v1277496853","1.1.30","41716","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Music publishing","Dollars","81","thousands","3","v1277496853","1.1.30","42033","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Music publishing","Dollars","81","thousands","3","v1277496853","1.1.30","42387","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Music publishing","Dollars","81","thousands","3","v1277496853","1.1.30","42606","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496854","1.1.31","90661","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496854","1.1.31","92363","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496854","1.1.31","93164","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496854","1.1.31","95417","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Sound recording","Dollars","81","thousands","3","v1277496854","1.1.31","96909","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Education and training (culture)","Dollars","81","thousands","3","v1277496855","1.1.32","1180883","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Education and training (culture)","Dollars","81","thousands","3","v1277496855","1.1.32","1206349","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Education and training (culture)","Dollars","81","thousands","3","v1277496855","1.1.32","1222885","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Education and training (culture)","Dollars","81","thousands","3","v1277496855","1.1.32","1209782","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Education and training (culture)","Dollars","81","thousands","3","v1277496855","1.1.32","1213970","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (culture)","Dollars","81","thousands","3","v1277496856","1.1.33","2855023","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (culture)","Dollars","81","thousands","3","v1277496856","1.1.33","2909239","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (culture)","Dollars","81","thousands","3","v1277496856","1.1.33","2962488","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (culture)","Dollars","81","thousands","3","v1277496856","1.1.33","2969024","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (culture)","Dollars","81","thousands","3","v1277496856","1.1.33","2984224","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Multi domain","Dollars","81","thousands","3","v1277496857","1.1.34","409114","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Multi domain","Dollars","81","thousands","3","v1277496857","1.1.34","416626","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Multi domain","Dollars","81","thousands","3","v1277496857","1.1.34","426491","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Multi domain","Dollars","81","thousands","3","v1277496857","1.1.34","435378","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Multi domain","Dollars","81","thousands","3","v1277496857","1.1.34","438199","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Sport total","Dollars","81","thousands","3","v1277496858","1.1.35","1943128","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Sport total","Dollars","81","thousands","3","v1277496858","1.1.35","1988374","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Sport total","Dollars","81","thousands","3","v1277496858","1.1.35","2009368","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Sport total","Dollars","81","thousands","3","v1277496858","1.1.35","2022384","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Sport total","Dollars","81","thousands","3","v1277496858","1.1.35","2039452","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Organized sport","Dollars","81","thousands","3","v1277496859","1.1.36","517711","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Organized sport","Dollars","81","thousands","3","v1277496859","1.1.36","532706","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Organized sport","Dollars","81","thousands","3","v1277496859","1.1.36","537569","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Organized sport","Dollars","81","thousands","3","v1277496859","1.1.36","556570","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Organized sport","Dollars","81","thousands","3","v1277496859","1.1.36","565891","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Informal sport","Dollars","81","thousands","3","v1277496860","1.1.37","120119","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Informal sport","Dollars","81","thousands","3","v1277496860","1.1.37","122505","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Informal sport","Dollars","81","thousands","3","v1277496860","1.1.37","122853","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Informal sport","Dollars","81","thousands","3","v1277496860","1.1.37","124020","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Informal sport","Dollars","81","thousands","3","v1277496860","1.1.37","124504","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Education and training (sport)","Dollars","81","thousands","3","v1277496861","1.1.38","834431","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Education and training (sport)","Dollars","81","thousands","3","v1277496861","1.1.38","853664","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Education and training (sport)","Dollars","81","thousands","3","v1277496861","1.1.38","858374","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Education and training (sport)","Dollars","81","thousands","3","v1277496861","1.1.38","848849","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Education and training (sport)","Dollars","81","thousands","3","v1277496861","1.1.38","852252","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (sport)","Dollars","81","thousands","3","v1277496862","1.1.39","470867","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (sport)","Dollars","81","thousands","3","v1277496862","1.1.39","479499","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (sport)","Dollars","81","thousands","3","v1277496862","1.1.39","490572","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (sport)","Dollars","81","thousands","3","v1277496862","1.1.39","492945","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Governance, funding and professional support (sport)","Dollars","81","thousands","3","v1277496862","1.1.39","496805","","","","0"


