Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
Comeback_Kids_Boston_Scientific,RD_Efficiency_Gains,R&D as a percentage of revenue declined by 10% while the firm continued to launch innovative products.,2,4,Positive,RD_Productivity,0.96
Comeback_Kids_Boston_Scientific,Bureaucracy_Reduction_and_Innovation_Culture,Leaders thinned bureaucracy to speed decisions and launched programs empowering teams to propose unconventional solutions; best projects receive funding and recognition.,3,5,Positive,Culture,0.97
Comeback_Kids_Boston_Scientific,Revenue_and_Margin_Improvement,Revenue is up nearly 20% since 2013 and EBIT margins are up 30%; market capitalization nearly quintupled in the period.,2,5,Positive,Financial_Performance,0.98
,,,,,,,
Comeback_Kids_Nokia,Collapse_in_Market_Cap,"""Just five years later… Nokia’s market capitalization had dropped 96%… operating losses more than $2B in first half of 2012.""",2,5,Negative,Crisis_Severity,0.99
Comeback_Kids_Nokia,Divestment_of_Mobile_Phone_Business,Nokia sold its mobile-phone business to Microsoft in a $7.2B deal in 2013 as part of a bet-the-company turnaround.,2,5,Neutral,Portfolio_Restructuring,0.97
Comeback_Kids_Nokia,Refocus_on_Network_Infrastructure,"Post-divestment, Nokia focused on networks, mapping, and patent licensing; it bought out Siemens’ share of the network JV and made it the new core.",3,5,Positive,Strategic_Focus,0.97
Comeback_Kids_Nokia,Acquisition_of_Alcatel_Lucent,Nokia’s $16.6B acquisition of Alcatel-Lucent expanded it to a full-service network infrastructure provider and strengthened its North American presence.,2,5,Positive,MandA_Strategy,0.97
Comeback_Kids_Nokia,Sale_of_Mapping_Business,Nokia sold its mapping business to a consortium of German carmakers for $3B to sharpen strategic focus.,1,4,Positive,Portfolio_Simplification,0.95
Comeback_Kids_Nokia,High_Value_of_Patent_Business,Patent and technology licensing accounted for <5% of revenue but 22% of operating profits in 2016 and a higher share of valuation.,2,4,Positive,Intangible_Assets,0.96
Comeback_Kids_Nokia,Extensive_Leadership_and_Workforce_Change,"Company turned over 99% of employee base, 80% of the board, and all but one executive since the turnaround began.",2,5,Neutral,Leadership_Change,0.96
Comeback_Kids_Nokia,Massive_Recovery_in_Market_Cap,Nokia’s market capitalization grew more than 500% between the low point in 2012 and 2017.,2,5,Positive,Shareholder_Value,0.98
,,,,,,,
Comeback_Kids_UPM,Declining_Graphic_Paper_Demand,UPM’s core graphic paper segment faced demand declines averaging 5% per year in Europe and North America from 2006–2012.,2,5,Negative,Market_Decline,0.98
Comeback_Kids_UPM,Capacity_Closure_and_Consolidation,"From 2006–2009 UPM closed about 14% of paper capacity and acquired a competitor, generating ~$240M in annual cost synergies.",2,4,Positive,Cost_Structuring,0.96
Comeback_Kids_UPM,Second_Wave_of_Cost_Reductions,"In 2013 UPM launched further cost cuts: closing more paper facilities, reducing headcount, and selling forest properties.",2,4,Positive,Restructuring,0.95
Comeback_Kids_UPM,Restructuring_into_Six_Businesses,"UPM reorganized into six businesses: European/North American paper, specialty paper, plywood, labels, biorefining, and energy.",2,4,Positive,Business_Model,0.95
Comeback_Kids_UPM,Investment_in_Growth_Projects,"UPM invested about $730M in growth projects, including a specialty paper plant in China and a wood-based renewable diesel biofuels facility in Finland.",2,5,Positive,Growth_Investment,0.97
Comeback_Kids_UPM,Reduced_Dependence_on_Declining_Paper,Share of revenue from declining paper markets fell from ~70% in 2006 to below 50% in 2016.,2,5,Positive,Portfolio_Transformation,0.97
Comeback_Kids_UPM,Innovation_and_Patents,Annual patent applications increased by 280% since 2008 as part of a push for innovation.,1,4,Positive,Innovation,0.95
Comeback_Kids_UPM,Decentralized_Decision_Making,More decision-making authority was pushed down to business units to increase nimbleness and responsiveness.,2,4,Positive,Governance,0.94
Comeback_Kids_UPM,Employee_Engagement_and_Productivity_Gains,"From 2008–2016, employee engagement rose 20 percentage points, sales per employee increased 34%, and time lost to accidents declined 83%.",2,5,Positive,People_And_Safety,0.98
Comeback_Kids_UPM,Sustainability_and_Reputation,"All wood is sustainably sourced, wastewater reduced, and UPM appears on multiple sustainability indices.",2,4,Positive,Sustainability,0.95
Comeback_Kids_UPM,Revenue_Stability_with_Margin_and_Price_Growth,"Despite scaling back paper, UPM maintained consistent revenue while profit margins and share price rose sharply (share price +212%, margins +61% over period).",2,5,Positive,Financial_Performance,0.98
,,,,,,,
Comeback_Kids_PSA,Overdependence_on_Weak_Market,Groupe PSA relied on Europe for more than two-thirds of sales as the regional market plunged post–financial crisis.,1,4,Negative,Market_Exposure,0.94
Comeback_Kids_PSA,Complex_And_Overlapping_Model_Lineup,"PSA had 23 Peugeot and 22 Citroën models that were insufficiently differentiated and cannibalized demand, with lower pricing and higher labor costs than peers.",2,4,Negative,Product_Complexity,0.95
Comeback_Kids_PSA,Severe_Financial_Losses,"The company lost $5.4B in 2012 and $2.5B in 2013, prompting a recapitalization with Dongfeng and the French government (each buying 14% stakes).",1,5,Negative,Financial_Crisis,0.96
Comeback_Kids_PSA,Brand_Positioning_Strategy,"PSA differentiated brands—Citroën as value, Peugeot mid-market, DS as premium—to regain pricing power and rationalize discounts.",2,4,Positive,Brand_Strategy,0.95
Comeback_Kids_PSA,Model_Portfolio_Rationalization,"PSA planned to thin its model range from 45 to 26 by 2022, significantly simplifying its product portfolio.",1,4,Positive,Portfolio_Simplification,0.94
,,,,,,,
Comeback_Kids,Truncation_Limitations,"Later case studies (Olympus, Ajinomoto, Lanxess, Qantas, Acciona) are referenced in the table of contents but their full narrative content is truncated in the parsed text, preventing reliable concept extraction.",1,5,Neutral,Data_Limitation,0.99
