title,wiki,trends,youtube,chartmetric,category,gender,source,notes1,notes2,IntentRatio
Concerto Barocco,0.073916353,0.0,0.0,24.24754322,contemporary,co,external_reference,Balanchine neoclassical,Bach  household classical name.,0.5
Concerto DSCH,0.021664064,0.0,0.028194483,22.39007244,contemporary,co,external_reference,Ratmansky neoclassical,Shostakovich  well-known classical composer.,0.5
Contact,0.586379915,0.030420138,0.024435219,97.37465031,contemporary,co,external_reference,Susan Stroman theatrical,Sting / show music  mainstream recording artist.,0.5
Coppelia,0.098442692,0.141038822,0.109018668,21.08851589,classic_comedy,female,external_reference,Delibes  classical; recognition limited outside ballet.,,0.4
Dance Theatre of Harlem,0.259505928,0.0,0.0,0.0,touring_contemporary_company,co,historical,Company.,,0.35
Dances at a Gathering,0.123182346,0.0,0.0,23.78559644,contemporary,co,external_reference,Robbins Chopin ballet,Chopin  household classical.,0.5
Dangerous Liaisons,12.13759594,1.770923277,0.05014392,19.35334624,adult_literary_drama,co,historical,Often Craig Armstrong (film composer)  mild public profile.,,0.25
Daphnis et Chloe,1.574428236,0.027654671,0.030074115,22.90079622,romantic_tragedy,co,external_reference,Greek mythology ballet,Ravel  household classical name.,0.4
Dark Matters,0.0,0.024889204,0.0,0.0,contemporary,co,external_reference,Pite theatrical work,Owen Belton  niche.,0.5
Death in Venice,5.191527439,0.978975353,0.031953747,20.66530378,adult_literary_drama,male,external_reference,Thomas Mann adaptation,Britten  modern classical; niche.,0.25
Deep River,0.0,0.013827336,0.0,0.0,contemporary,co,external_reference,Contemporary work,Spiritual/collage arrangements; messy signal.,0.5
Der Wolf,0.0,0.0,0.028194483,0.0,contemporary,female,historical,Production-specific score.,,0.5
deViate,0.0,0.0,0.048870437,0.0,contemporary_mixed_bill,co,historical,"Mixed program/work, not a specific score.",,0.5
Diavolo,0.253037007,5.235029219,4.563746975,0.0,touring_contemporary_company,co,historical,Company.,,0.25
Die Fledermaus,3.395826385,0.149335223,0.114657564,21.63689835,family_classic,female,external_reference,Johann Strauss II  household classical name.,,0.25
Divertimento No. 15,0.021018797,0.0,0.028194483,24.20558066,contemporary,co,external_reference,Balanchine neoclassical,Mozart  household classical.,0.5
Don Quixote,2.055837008,11.44031072,5.255390043,16.57628577,classic_comedy,co,historical,"Minkus  known in ballet, not to the public.",,0.3
Dona Peron,0.0,0.027654671,0.0,0.0,adult_literary_drama,female,historical,Salem score; composer not a public draw.,,0.35
Dracula,40.29133759,73.28308208,61.55251142,0.173230041,romantic_tragedy,male,historical,"Feeney/Liszt etc.; story > music, but film/novel resonance.",,0.25
Duende,0.0,0.0,0.0,23.57793559,contemporary,co,external_reference,Nacho Duato Spanish,Debussy  household classical.,0.5
Dybbuk,0.063612711,0.0,0.0,22.10745284,adult_literary_drama,co,external_reference,Robbins Jewish folklore,"Bernstein  big 20C name, but this piece less known.",0.35
Elite Syncopations,0.098948696,0.027654671,0.0,70.98773402,contemporary,co,external_reference,MacMillan ragtime,Scott Joplin & ragtime  recognisable to general audiences.,0.5
Emergence,0.0,0.0,0.024435219,0.0,contemporary,co,external_reference,Pite contemporary,Owen Belton  niche.,0.5
Emma Bovary,0.002249329,0.126389748,0.059921524,0.0,adult_literary_drama,female,external_reference,Non-standard ballet; score not a public brand.,,0.35
Enemy in the Figure,0.0,0.024889204,0.052629702,0.0,contemporary,co,external_reference,Forsythe abstract,Thom Willems  niche.,0.5
Enigma Variations,0.060839607,0.011061868,0.026314851,22.08234704,adult_literary_drama,co,external_reference,Ashton character ballet,Elgar  well-known classical.,0.35
Episodes,0.043903337,0.0,0.0,15.10795496,contemporary,co,external_reference,Balanchine/Graham work,"Webern  modern classical, niche.",0.5
Etudes,0.093997789,0.0,0.078944552,11.11559429,contemporary,co,external_reference,Lander classical showcase,Classical etude orchestration (Czerny/Riisager).,0.5
Facade,0.039503082,0.0,0.024435219,18.72570117,classic_comedy,co,external_reference,Ashton comedic work,"Walton  20C classical, modest recognition.",0.4
Falling Angels,0.0,0.027654671,0.0,20.10544438,contemporary,female,external_reference,Kylian contemporary,Steve Reich  modern classical niche but streamed.,0.5
Fancy Free,0.23672084,0.0,0.0,22.10745284,contemporary,male,external_reference,Robbins American ballet,"Bernstein  household name, but classical side.",0.5
Fiddle and the Drum,0.150928263,0.027654671,0.030074115,92.46538986,pop_ip,co,historical,Joni Mitchell songs.,,0.25
Five Tangos,0.0,0.013827336,0.031953747,79.90818449,contemporary,co,external_reference,Van Manen tango work,Astor Piazzolla  big tango/crossover streaming profile.,0.5
Flight Pattern,0.216316951,0.011115307,0.092101978,16.92884298,contemporary,co,external_reference,Pite refugee narrative,"Gorecki  modern classical, famous but niche.",0.5
Flower Festival in Genzano,0.067303568,0.01935827,0.0,0.0,classic_romance,co,external_reference,Bournonville pas de deux,Helsted/Paulli  obscure.,0.4
Forgotten Land,0.000223443,0.011061868,0.0,20.66530378,contemporary,co,external_reference,Kylian dramatic,Britten  modern classical.,0.5
Four Seasons,0.063081902,0.575217157,0.003759264,94.13671903,contemporary,co,external_reference,Robbins Vivaldi,Vivaldi / Max Richter Recomposed  both very strong streaming brands.,0.5
Frankenstein,46.77679806,86.09715242,31.46118722,8.396456495,adult_literary_drama,male,historical,Lowell Liebermann  modern classical; niche.,,0.2
Giselle,6.353889372,25.88543577,13.123592,18.56107883,romantic_tragedy,female,historical,"Adolphe Adam  known in ballet, not elsewhere.",,0.3
Glass Pieces,0.077974311,0.013827336,0.0,88.32508428,contemporary,co,external_reference,Robbins minimalist,Philip Glass  major contemporary brand composer.,0.5
Gloria,0.008908794,0.0,0.0,20.61150563,contemporary,co,external_reference,MacMillan WWI tribute,Poulenc  modern classical.,0.5
Goldberg Variations,0.03907149,0.013827336,0.0,24.24754322,contemporary,co,external_reference,Robbins Bach work,Bach  household classical name.,0.5
Gone,0.0,0.022123737,0.0,0.0,contemporary,co,external_reference,Rhoden contemporary,Non-standard; composer not central.,0.5
Grand Pas de Deux Esmeralda,0.0,0.0,0.03383338,0.0,classic_romance,female,external_reference,Classical showpiece,Pugni  very niche outside ballet.,0.4
Great Gatsby,52.4137137,44.695989,12.34842861,0.0,adult_literary_drama,male,external_reference,Often jazz/film composers; some public recognition.,,0.2
Grimm,0.376244157,40.85242817,22.61901353,0.0,family_classic,female,historical,Modern score; composer not general-audience recognizable.,,0.15
Grosse Fuge,0.0,0.013827336,0.0,24.19625565,contemporary,co,external_reference,Van Manen Beethoven,Beethoven  household classical name.,0.5
Handmaid's Tale,0.193174683,100.0,11.36986301,8.627429883,adult_literary_drama,female,historical,Ruders  modern classical niche; story is main draw.,,0.2
Hansel & Gretel,20.63362586,0.017706253,0.02474635,21.69930421,family_classic,co,historical,"Humperdinck  opera known, but not a pop signal.",,0.15
Harlequinade,0.132439253,0.013827336,0.0,0.0,classic_comedy,co,external_reference,Balanchine commedia,Drigo  niche ballet composer.,0.4
Herman Schmerman,0.001375417,0.0,0.013157425,0.0,contemporary,co,external_reference,Forsythe comedic,Willems  niche.,0.5
Illuminations,0.046653292,0.0,0.0,20.66530378,contemporary,co,external_reference,Ashton Britten work,Britten  modern classical.,0.5
In G Major,0.022179867,0.0,0.031953747,22.90079622,contemporary,co,external_reference,Robbins neoclassical,Ravel Piano Concerto  classical brand.,0.5
In the Middle Somewhat Elevated,0.013572828,0.033185605,0.0,0.0,contemporary,co,external_reference,Forsythe signature work,Willems  niche.,0.5
In the Night,0.0,0.0,0.0,23.78559644,contemporary,co,external_reference,Robbins romantic,Chopin  household classical.,0.5
In the Upper Room,0.0,0.0,0.062027863,88.32508428,contemporary,co,external_reference,Twyla Tharp dynamic work,Philip Glass  strong crossover presence.,0.5
Infra,0.0,0.0,0.0,90.9776917,contemporary,co,external_reference,McGregor London-inspired,Max Richter  major contemporary crossover.,0.5
Initials R.B.M.E.,0.015618927,0.0,0.0,23.32759486,contemporary,co,external_reference,Cranko tribute work,Brahms  household classical.,0.5
Interplay,0.01371309,0.025009442,0.0,12.05580662,contemporary,co,external_reference,Robbins jazz ballet,Morton Gould  light-classical; modest.,0.5
Jardi Tancat,0.0,0.0,0.022555586,9.899935442,contemporary,co,external_reference,Nacho Duato Catalan,Maria del Mar Bonet  regionally known singer-songwriter.,0.5
Jewels,0.639574885,0.024889204,0.024435219,22.36281472,contemporary_mixed_bill,co,external_reference,Balanchine three-act masterpiece,Faure/Stravinsky/Tchaikovsky  classical trio.,0.5
Jewels: Diamonds,0.639574885,0.0,0.037592644,23.61129044,contemporary,co,external_reference,Balanchine Jewels,Tchaikovsky.,0.5
Jewels: Emeralds,0.639574885,0.0,0.024435219,22.5930708,contemporary,co,external_reference,Balanchine Jewels,Faure.,0.5
Jewels: Rubies,0.639574885,0.044247474,0.046990805,20.88408292,contemporary,co,external_reference,Balanchine Jewels,Stravinsky.,0.5
Jungle Book,12.90899493,20.9427096,29.44815639,18.38569687,family_classic,male,external_reference,"Some productions use commissioned scores; brand is story, not music.",,0.15
L'Europe galante,0.045570176,0.0,0.0,9.873753676,classic_romance,co,external_reference,"Campra  baroque, niche but classical.",,0.4
La Bayadere,1.712562521,0.049400064,0.006614714,16.57628577,romantic_tragedy,female,historical,Minkus  ballet-specific.,,0.4
La Boutique fantasque,0.217046192,0.048925064,0.0,19.9096191,classic_comedy,co,external_reference,Massine comedic,Rossini/Respighi  classical.,0.4
La Esmeralda,0.610539152,0.004096785,0.0,0.0,romantic_tragedy,female,external_reference,Petipa classical,Pugni  niche.,0.4
La Fille mal gardee,1.076653689,0.024462532,0.006614714,11.14303134,classic_comedy,female,external_reference,Herold/Lanchbery  classical but little brand value.,,0.4
La Source,0.013097664,0.013894134,0.028194483,21.08851589,classic_romance,female,external_reference,Classical ballet,Delibes/Minkus  classical.,0.4
La Sylphide,1.102698042,0.020483924,0.0,1.663797432,romantic_tragedy,co,historical,Lovenskiold  ballet niche.,,0.4
La Traviata,9.03988065,1.463674821,0.023151498,22.30291945,adult_literary_drama,female,external_reference,Opera-adapted dramatic work,Verdi  household opera name.,0.25
La Valse,0.031759228,0.041482006,0.030074115,22.90079622,contemporary,co,external_reference,Balanchine Ravel,Ravel  classical.,0.5
La Vivandiere,0.0,0.0,0.0,0.0,classic_comedy,female,external_reference,Bournonville classical,Pugni  niche.,0.4
Lady Chatterley's Lover,16.92963278,5.433897315,0.046262918,0.0,adult_literary_drama,female,external_reference,Feeney; music not a public driver.,,0.25
Las Hermanas,0.006986325,0.0,0.031953747,10.58388924,adult_literary_drama,female,external_reference,MacMillan Spanish,"Frank Martin  modern classical, niche.",0.35
Le Baiser de la fee,0.220146711,0.011061868,0.073305656,20.88408292,romantic_tragedy,female,external_reference,Stravinsky fairy tale,Stravinsky.,0.4
Le Corsaire,0.870114532,0.106004305,0.029766212,18.56107883,romantic_tragedy,male,external_reference,Classical repertoire piece,Adam + others  ballet niche.,0.4
Le Jeune Homme et la Mort,0.125747095,0.013827336,0.026314851,24.24754322,adult_literary_drama,male,external_reference,Petit existential,Bach  household classical.,0.35
Le Parc,0.0,0.013827336,0.0,24.20558066,contemporary,co,external_reference,Preljocaj romantic,Mozart  household classical.,0.5
Les elemens,0.000446886,0.027654671,0.026314851,9.895272936,classic_romance,co,external_reference,Rebel  baroque; niche.,,0.4
Les fetes d'Hebe,0.099742429,0.0,0.024435219,20.72448175,classic_romance,female,external_reference,Rameau  baroque; niche but classical.,,0.4
Les Indes galantes,0.854894709,0.0,0.028194483,20.72448175,classic_romance,co,external_reference,Rameau.,,0.4
Les Patineurs,0.071297035,0.0,0.0,14.44336849,classic_comedy,co,external_reference,Ashton skating ballet,Meyerbeer  classical but not widely recognized.,0.4
Les Presages,0.0,0.013827336,0.03383338,23.61129044,contemporary,co,external_reference,Massine symphonic,Tchaikovsky.,0.5
Les Rendezvous,0.023901274,0.0,0.0,11.38117782,classic_comedy,co,external_reference,Ashton divertissement,Auber  light classical.,0.4
Les Saisons,0.157426949,0.0,0.028194483,18.57793558,classic_comedy,,external_reference,Glazunov  classical.,,0.4
Les Sylphides,0.686762291,0.02853962,0.053263577,23.78559644,romantic_tragedy,female,external_reference,Romantic era classic,Chopin.,0.4
Liebeslieder Walzer,0.027433385,0.033185605,0.0,23.32759486,contemporary,co,external_reference,Balanchine Brahms,Brahms.,0.5
Liliom,0.0,0.0,0.0,19.67721111,adult_literary_drama,male,external_reference,Wheeldon Molnar,Michel Legrand  film/songwriter with some public recognition.,0.35
Limb's Theorem,0.0,0.022123737,0.0,0.0,contemporary,co,external_reference,Forsythe abstract,Willems  niche.,0.5
Limen,0.0,0.030420138,0.0,14.45305215,contemporary,co,external_reference,McGregor contemporary,"Kaija Saariaho  modern classical, niche.",0.5
Love in the Time of Cholera,10.34889957,0.1793919,0.0,19.97704613,adult_literary_drama,male,historical,Often Piazzolla/Latin; moderate recognition.,,0.25
Macbeth,38.7982223,80.73701841,13.97260274,22.30291945,adult_literary_drama,female,external_reference,Often Verdi  household classical.,,0.2
Manon,0.59323082,0.013961582,0.054509334,20.89018004,romantic_tragedy,female,external_reference,Dramatic story ballet,Massenet  classical; title sells on story.,0.4
Mayerling,0.847076442,0.044247474,0.0,22.77992971,adult_literary_drama,male,external_reference,Dark dramatic work,Liszt  household classical.,0.35
Midsummer Night's Dream,25.01694495,9.992944254,0.803687716,22.84663941,classic_romance,male,historical,Mendelssohn  household classical.,,0.3
Minus 16,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Naharin eclectic,"Collage of various songs; messy, not comparable.",0.5
Misericordes,0.0,0.0,0.022555586,20.55555556,contemporary,co,external_reference,Wheeldon contemporary,Arvo Part  modern classical niche.,0.5
Momix,0.273966745,0.041682403,0.001879632,0.0,touring_contemporary_company,co,historical,Company.,,0.35
Monotones I,0.023092659,0.0,0.0,23.01448963,contemporary,co,external_reference,Ashton Satie,Erik Satie  fairly well-known classical.,0.5
Monotones II,0.023092659,0.027654671,0.0,23.01448963,contemporary,co,external_reference,Ashton Satie,Erik Satie.,0.5
Movements for Piano and Orchestra,0.010859298,0.013827336,0.0,20.88408292,contemporary,co,external_reference,Balanchine Stravinsky,Stravinsky.,0.5
Movin' Out,0.0,0.0,0.028194483,99.1464027,pop_ip,male,external_reference,Billy Joel - strong crossover,Billy Joel songbook.,0.25
Multiplicity Forms of Silence and Emptiness,0.0,0.0,0.035713012,24.24754322,contemporary,co,external_reference,Nacho Duato Bach,Bach  household classical.,0.5
Na Floresta,0.0,0.030420138,0.0,18.81141956,contemporary,co,external_reference,Naharin contemporary,"Villa-Lobos  well-known classical, but not pop.",0.5
Nijinsky,3.744458568,0.045283392,0.003307357,22.39007244,contemporary,male,historical,Depends on version (often Shostakovich or collage); classical.,,0.5
No More Play,0.0,0.0,0.0,15.10795496,contemporary,co,external_reference,Kylian contemporary,Webern  modern classical niche.,0.5
Odessa,0.0,0.012231266,0.026458855,5.679649953,contemporary,co,external_reference,Contemporary work,Desyatnikov  modern classical; some recognition.,0.5
On the Dnieper,0.038590289,0.0,0.0,22.17344523,romantic_tragedy,co,external_reference,Ratmansky Prokofiev,Prokofiev  household classical.,0.4
Once Upon a Time,1.609873359,70.89860504,40.93871154,0.0,family_classic,co,historical,Too many versions; no stable music brand.,,0.1
Ondine,0.000317786,0.0,0.0,10.53224303,romantic_tragedy,female,external_reference,Ashton water nymph,Hans Werner Henze  modern classical.,0.4
"One Flat Thing, Reproduced",0.000417094,0.0,0.0,0.0,contemporary,co,external_reference,Forsythe abstract,Willems  niche.,0.5
Onegin,0.004164054,0.452556839,0.06283978,23.61129044,romantic_tragedy,male,external_reference,Pushkin literary classic,Tchaikovsky.,0.4
Othello,22.45801538,27.03109766,1.938111117,13.21856395,adult_literary_drama,male,external_reference,Elliot Goldenthal  film composer with some recognition.,,0.25
Other Dances,0.034239642,0.0,0.03383338,23.78559644,contemporary,co,external_reference,Robbins Chopin,Chopin.,0.5
Our Canada,0.0,0.0,0.028194483,91.30765368,pop_ip,co,historical,Gordon Lightfoot  major folk/country artist.,,0.25
Paquita,0.641127624,0.713490512,2.086942176,16.57628577,classic_romance,female,external_reference,Spanish-themed classical,Minkus  ballet niche.,0.4
Pas/Parts,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Forsythe abstract,Willems  niche.,0.5
Peeping Tom: Dance Theatre Productions,0.0,0.0,0.03383338,0.0,touring_contemporary_company,co,external_reference,Company/collective.,,0.35
Peer Gynt,6.558543413,1.29700407,0.28194483,22.55899863,adult_literary_drama,male,external_reference,Ibsen literary work,Grieg  household classical.,0.25
Peter and the Wolf,6.645660532,1.225101925,1.338298124,22.17344523,family_classic,male,external_reference,Prokofiev children's classic,Prokofiev  famous classical narrative piece.,0.15
Peter Pan,0.320980522,58.87772193,30.3196347,14.47923391,family_classic,male,external_reference,Some versions use Stephen Warbeck/others; story more than score.,,0.1
Petite Mort,0.07664977,0.027654671,0.024435219,24.20558066,contemporary,co,external_reference,Kylian Mozart,Mozart.,0.5
Petrouchka,2.185736317,0.011061868,0.024435219,20.88408292,adult_literary_drama,male,external_reference,Stravinsky/Fokine classic,Stravinsky.,0.35
Phi,0.0,0.013827336,0.030074115,87.30363676,pop_ip,male,historical,David Bowie,,0.25
Pinocchio,19.85980102,44.80737017,24.56621005,20.76321641,family_classic,male,external_reference,Often Rota or modern film-style scores; some recognition but varied.,,0.15
Poeme de l'extase,0.484142189,0.0,0.0,20.44257944,contemporary,co,external_reference,Cranko Scriabin,Scriabin  classical niche.,0.5
Polovtsian Dances,1.127244223,0.011061868,0.0,19.36051934,contemporary,co,external_reference,Fokine opera excerpt,Borodin  classical.,0.5
Polyphonia,0.03321275,0.013827336,0.0,17.31762427,contemporary_mixed_bill,co,external_reference,Wheeldon Ligeti music,"Ligeti  modern classical, niche.",0.5
Prodigal Son,0.169496646,0.033185605,0.0,22.17344523,adult_literary_drama,male,external_reference,Balanchine biblical,Prokofiev.,0.35
Pulcinella,0.847398896,0.0,0.0,20.88408292,classic_comedy,male,external_reference,Stravinsky.,,0.4
Push Comes to Shove,0.0,0.030420138,0.045111173,17.7469335,contemporary,male,external_reference,Tharp crossover piece,Ragtime collage (Joplin etc.)  some general familiarity.,0.5
Puss in Boots,9.160974488,44.10120779,52.51141552,20.10544438,family_classic,male,external_reference,Children's fairy tale,Usually from Tchaikovsky; household classical.,0.15
Raymonda,0.692988131,0.0,0.024435219,18.57793558,classic_romance,female,external_reference,Grand classical ballet,Glazunov  classical.,0.4
Remanso,0.0,0.035951072,0.0,18.46675275,contemporary,co,external_reference,Nacho Duato Spanish,Granados  classical.,0.5
Requiem,0.018016112,0.011061868,0.0,22.5930708,contemporary,co,external_reference,MacMillan Faure,"Faure  classical, widely recorded.",0.5
Requiem for a Rose,0.0,0.0,0.024435219,23.23506205,contemporary,co,external_reference,Contemporary work,Schubert  household classical.,0.5
Rhapsody,0.085455241,0.01935827,0.030074115,22.93845492,contemporary,co,external_reference,Ashton Rachmaninoff,Rachmaninoff  household classical.,0.5
Rite of Spring,9.23865611,0.525944434,0.892986351,20.88408292,contemporary,co,historical,Stravinsky revolutionary,Stravinsky  very famous classical work.,0.4
Rodeo,0.937557003,0.013827336,0.035713012,19.70124094,pop_ip,co,external_reference,American classic with Copland,Copland  well-known classical.,0.25
Romeo and Juliet,47.44830084,68.67671691,25.79908675,22.17344523,romantic_tragedy,co,external_reference,Prokofiev.,,0.25
Russian Seasons,0.023811979,0.0,0.0,5.679649953,contemporary,co,external_reference,Ratmansky contemporary,Desyatnikov  modern classical.,0.5
Scenes de Ballet,0.000307855,0.0,0.080824184,20.88408292,contemporary,co,external_reference,Ashton Stravinsky,Stravinsky.,0.5
Sechs Tanze,0.0,0.013827336,0.0,24.20558066,classic_comedy,co,external_reference,Kylian Mozart comedy,Mozart.,0.4
Secus,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Naharin contemporary,Collage; no single artist.,0.5
Serenade,0.22797986,0.0,0.028194483,23.61129044,contemporary,co,external_reference,Neoclassical Balanchine,Tchaikovsky.,0.5
Seven Sonatas,0.0,0.0,0.024435219,20.1861416,contemporary,co,external_reference,Pite Scarlatti,Scarlatti  classical.,0.5
Shaping Sound,0.0,0.013827336,0.0,0.0,touring_contemporary_company,male,historical,Commercial dance company; no single score.,,0.35
Shostakovich Trilogy,0.0,0.0,0.026314851,22.39007244,contemporary,co,external_reference,Ratmansky Shostakovich,Shostakovich  classical.,0.5
Sinatra Suite,0.0,0.0,0.0,98.48360949,pop_ip,male,external_reference,Popular music crossover,Frank Sinatra songs.,0.25
Sinfonietta,0.0,0.013827336,0.0,19.03629581,contemporary,co,external_reference,Kylian Janacek,Janacek  modern classical.,0.5
Slava's Snow Show,0.000357509,0.141038822,0.001879632,0.0,family_classic,male,historical,Petipa classical,"Collage; show driven by clowning, not music recognition.",0.25
Sleeping Beauty,15.56059278,21.64755469,12.57114576,23.61129044,classic_romance,female,historical,Tchaikovsky.,,0.3
