"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Household and dwelling characteristics,  Semi-detached house,,38475,,,...,,...,7,,,...,,...
Household and dwelling characteristics,  Row house,,46405,,,...,,...,8.5,,,...,,...
Household and dwelling characteristics,  Apartment or flat in a duplex,,10955,,,...,,...,2,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,105235,,,...,,...,19.2,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,30920,,,...,,...,5.6,,,...,,...
Household and dwelling characteristics,  Other single-attached house,,140,,,...,,...,0,,,...,,...
Household and dwelling characteristics,  Movable dwelling,4,6525,,,...,,...,1.2,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,,548625,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  1 person,,146750,,,...,,...,26.7,,,...,,...
Household and dwelling characteristics,  2 persons,,179295,,,...,,...,32.7,,,...,,...
Household and dwelling characteristics,  3 persons,,85440,,,...,,...,15.6,,,...,,...
Household and dwelling characteristics,  4 persons,,82665,,,...,,...,15.1,,,...,,...
Household and dwelling characteristics,  5 or more persons,,54475,,,...,,...,9.9,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,1397750,,696315,,701435,,100,,100,,100,
Household and dwelling characteristics,Average household size,,2.6,,,...,,...,2.6,,,...,,...
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,1154295,,570720,,583570,,100,,100,,100,
Marital status,  Married or living common-law,,661095,,330865,,330230,,57.3,,58,,56.6,
Marital status,    Married,,553770,,277095,,276675,,48,,48.6,,47.4,
Marital status,    Living common-law,,107330,,53770,,53560,,9.3,,9.4,,9.2,
Marital status,      Living common law - Never married,,80670,,40605,,40065,,7,,7.1,,6.9,
Marital status,      Living common law - Separated,,4120,,2145,,1975,,0.4,,0.4,,0.3,
Marital status,      Living common law - Divorced,,20680,,10265,,10410,,1.8,,1.8,,1.8,
Marital status,      Living common law - Widowed,,1865,,755,,1110,,0.2,,0.1,,0.2,
Marital status,  Not married and not living common-law,,493195,,239855,,253345,,42.7,,42,,43.4,
Marital status,    Not married and not living common law - Never married,,340775,,187700,,153070,,29.5,,32.9,,26.2,
Marital status,    Not married and not living common law - Separated,,28595,,12150,,16445,,2.5,,2.1,,2.8,
Marital status,    Not married and not living common law - Divorced,,72600,,28870,,43735,,6.3,,5.1,,7.5,
Marital status,    Not married and not living common law - Widowed,,51225,,11130,,40100,,4.4,,2,,6.9,
Family characteristics,Total - Census families in private households by family size - 100% data,5,384765,,,...,,...,100,,,...,,...
Family characteristics,  2 persons,,183315,,,...,,...,47.6,,,...,,...
Family characteristics,  3 persons,,82110,,,...,,...,21.3,,,...,,...
Family characteristics,  4 persons,,81085,,,...,,...,21.1,,,...,,...
Family characteristics,  5 or more persons,,38260,,,...,,...,9.9,,,...,,...
Family characteristics,Average size of census families,,3,,,...,,...,3,,,...,,...
Family characteristics,Average number of children in census families with children,6,1.8,,,...,,...,1.8,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,,384765,,,...,,...,100,,,...,,...
Family characteristics,  Total couple families,,321965,,,...,,...,83.7,,,...,,...
Family characteristics,    Married couples,,268325,,,...,,...,69.7,,,...,,...
Family characteristics,      With children,6,156735,,,...,,...,40.7,,,...,,...
Family characteristics,      Without children,,111595,,,...,,...,29,,,...,,...
Family characteristics,    Common-law couples,,53640,,,...,,...,13.9,,,...,,...
Family characteristics,      With children,6,18920,,,...,,...,4.9,,,...,,...
Family characteristics,      Without children,,34720,,,...,,...,9,,,...,,...
Family characteristics,  Total one-parent families,,62805,,,...,,...,16.3,,,...,,...
Family characteristics,    in which the parent is a woman+,,48450,,,...,,...,12.6,,,...,,...
Family characteristics,    in which the parent is a man+,,14350,,,...,,...,3.7,,,...,,...
Family characteristics,Total - Persons in private households - 100% data,,1397750,,696315,,701435,,100,,100,,100,
Family characteristics,  Total - Persons in census families,,1143940,,567560,,576385,,81.8,,81.5,,82.2,
Family characteristics,    Married spouses or common-law partners,,643930,,321825,,322100,,46.1,,46.2,,45.9,
Family characteristics,    Parents in one-parent families,,62800,,14355,,48450,,4.5,,2.1,,6.9,
Family characteristics,    Children,6,437210,,231380,,205835,,31.3,,33.2,,29.3,
Family characteristics,      In a two-parent family,,336985,,177345,,159635,,24.1,,25.5,,22.8,
Family characteristics,      In a one-parent family,,100225,,54030,,46195,,7.2,,7.8,,6.6,
Family characteristics,  Total - Persons not in census families in private households - 100% data,,253810,,128760,,125050,,18.2,,18.5,,17.8,
Family characteristics,    Living alone,,146750,,70940,,75810,,10.5,,10.2,,10.8,
Family characteristics,    Living with other relatives,7,41045,,18700,,22345,,2.9,,2.7,,3.2,
Family characteristics,    Living with non-relatives only,,66020,,39115,,26900,,4.7,,5.6,,3.8,
Household type,Total - Household type - 100% data,,548625,,,...,,...,100,,,...,,...
Household type,  One-census-family households without additional persons,,330200,,,...,,...,60.2,,,...,,...
Household type,    Couple-family households,,283195,,,...,,...,51.6,,,...,,...
Household type,      With children,6,154390,,,...,,...,28.1,,,...,,...
Household type,      Without children,,128805,,,...,,...,23.5,,,...,,...
Household type,    One-parent-family households,,47005,,,...,,...,8.6,,,...,,...
Household type,  Multigenerational households,8,16750,,,...,,...,3.1,,,...,,...
Household type,  Multiple-census-family households,9,3515,,,...,,...,0.6,,,...,,...
Household type,  One-census-family households with additional persons,9,21435,,,...,,...,3.9,,,...,,...
Household type,  Two-or-more-person non-census-family households ,,29970,,,...,,...,5.5,,,...,,...
Household type,  One-person households,,146750,,,...,,...,26.7,,,...,,...
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,1134405,,561495,,572905,,100,,100,,100,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,1079210,,534410,,544800,,95.1,,95.2,,95.1,
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,45600,,54000,,39600,,45600,,54000,,39600,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,1079680,,534655,,545025,,95.2,,95.2,,95.1,
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,40800,,47200,,36400,,40800,,47200,,36400,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,969905,,490510,,479400,,85.5,,87.4,,83.7,
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,41600,,51200,,32800,,41600,,51200,,32800,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,812720,,421285,,391430,,71.6,,75,,68.3,
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,44000,,53200,,35600,,44000,,53200,,35600,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,954070,,464515,,489555,,84.1,,82.7,,85.5,
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,8400,,6320,,9800,,8400,,6320,,9800,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,135170,,68585,,66585,,11.9,,12.2,,11.6,
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5760,,5760,,5880,,5760,,5760,,5880,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,339080,,164670,,174420,,29.9,,29.3,,30.4,
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000,,8000,,8500,,8000,,8000,,8500,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,1134420,,561455,,572965,,100,,100,,100,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,1079075,,534380,,544695,,95.1,,95.2,,95.1,
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,59400,,70100,,48880,,59400,,70100,,48880,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,1079545,,534630,,544915,,95.2,,95.2,,95.1,
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,49440,,56900,,42120,,49440,,56900,,42120,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,969840,,490645,,479195,,85.5,,87.4,,83.6,
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,55700,,67500,,43680,,55700,,67500,,43680,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,812715,,421850,,390865,,71.6,,75.1,,68.2,
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,55300,,65600,,44200,,55300,,65600,,44200,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,954135,,464585,,489550,,84.1,,82.7,,85.4,
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10540,,9380,,11640,,10540,,9380,,11640,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,134640,,68345,,66295,,11.9,,12.2,,11.6,
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,7070,,6720,,7440,,7070,,6720,,7440,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,337020,,163655,,173360,,29.7,,29.1,,30.3,
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9160,,9000,,9310,,9160,,9000,,9310,
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,1134420,,561455,,572960,,100,,100,,100,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,377925,,213495,,164430,,33.3,,38,,28.7,
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,71500,,79000,,63200,,71500,,79000,,63200,
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,82800,,92700,,69900,,82800,,92700,,69900,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,332950,,156865,,176085,,29.3,,27.9,,30.7,
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,22200,,27200,,18600,,22200,,27200,,18600,
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,34000,,41760,,27040,,34000,,41760,,27040,
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100,,100,,100,,100,,100,,100,
Income of individuals in 2020,  Market income (%),18,84.4,,88.4,,78.6,,84.4,,88.4,,78.6,
Income of individuals in 2020,    Employment income (%),19,70.2,,74,,64.8,,70.2,,74,,64.8,
Income of individuals in 2020,  Government transfers (%),20,15.7,,11.6,,21.4,,15.7,,11.6,,21.4,
Income of individuals in 2020,    Employment insurance benefits (%),,1.5,,1.2,,1.9,,1.5,,1.2,,1.9,
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,5.4,,4.3,,6.9,,5.4,,4.3,,6.9,
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,4.8,,3.9,,6.1,,4.8,,3.9,,6.1,
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,1134400,,561495,,572910,,100,,100,,100,
Income of individuals in 2020,  Without total income,,55190,,27085,,28105,,4.9,,4.8,,4.9,
Income of individuals in 2020,  With total income,,1079215,,534410,,544805,,95.1,,95.2,,95.1,
Income of individuals in 2020,"    Under $10,000 (including loss)",,85855,,35570,,50285,,8,,6.7,,9.2,
Income of individuals in 2020,"    $10,000 to $19,999",,99090,,40125,,58960,,9.2,,7.5,,10.8,
Income of individuals in 2020,"    $20,000 to $29,999",,160645,,69565,,91080,,14.9,,13,,16.7,
Income of individuals in 2020,"    $30,000 to $39,999",,128455,,53700,,74755,,11.9,,10,,13.7,
Income of individuals in 2020,"    $40,000 to $49,999",,111945,,49580,,62370,,10.4,,9.3,,11.4,
Income of individuals in 2020,"    $50,000 to $59,999",,96120,,45195,,50925,,8.9,,8.5,,9.3,
Income of individuals in 2020,"    $60,000 to $69,999",,82555,,41430,,41125,,7.6,,7.8,,7.5,
Income of individuals in 2020,"    $70,000 to $79,999",,66815,,37275,,29545,,6.2,,7,,5.4,
Income of individuals in 2020,"    $80,000 to $89,999",,52410,,30605,,21810,,4.9,,5.7,,4,
Income of individuals in 2020,"    $90,000 to $99,999",,44640,,26455,,18180,,4.1,,5,,3.3,
Income of individuals in 2020,"    $100,000 and over",,150670,,104915,,45760,,14,,19.6,,8.4,
Income of individuals in 2020,"      $100,000 to $149,999",,100760,,66290,,34470,,9.3,,12.4,,6.3,
Income of individuals in 2020,"      $150,000 and over",,49915,,38630,,11290,,4.6,,7.2,,2.1,
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,1134400,,561495,,572910,,100,,100,,100,
Income of individuals in 2020,  Without after-tax income,,54720,,26840,,27885,,4.8,,4.8,,4.9,
Income of individuals in 2020,  With after-tax income,,1079680,,534655,,545025,,95.2,,95.2,,95.1,
Income of individuals in 2020,"    Under $10,000 (including loss)",,89345,,36805,,52540,,8.3,,6.9,,9.6,
Income of individuals in 2020,"    $10,000 to $19,999",,103485,,42090,,61395,,9.6,,7.9,,11.3,
Income of individuals in 2020,"    $20,000 to $29,999",,181820,,78655,,103165,,16.8,,14.7,,18.9,
Income of individuals in 2020,"    $30,000 to $39,999",,151520,,65620,,85895,,14,,12.3,,15.8,
Income of individuals in 2020,"    $40,000 to $49,999",,132475,,61420,,71050,,12.3,,11.5,,13,
Income of individuals in 2020,"    $50,000 to $59,999",,111110,,55670,,55445,,10.3,,10.4,,10.2,
Income of individuals in 2020,"    $60,000 to $69,999",,85230,,47445,,37785,,7.9,,8.9,,6.9,
Income of individuals in 2020,"    $70,000 to $79,999",,63605,,37360,,26245,,5.9,,7,,4.8,
Income of individuals in 2020,"    $80,000 to $89,999",,48490,,29000,,19485,,4.5,,5.4,,3.6,
Income of individuals in 2020,"    $90,000 to $99,999",,32095,,20800,,11295,,3,,3.9,,2.1,
Income of individuals in 2020,"    $100,000 and over",,80515,,59785,,20725,,7.5,,11.2,,3.8,
Income of individuals in 2020,"      $100,000 to $124,999",,40115,,28580,,11540,,3.7,,5.3,,2.1,
Income of individuals in 2020,"      $125,000 and over",,40395,,31210,,9185,,3.7,,5.8,,1.7,
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,1134400,,561495,,572910,,100,,100,,100,
Income of individuals in 2020,  Without employment income,,321685,,140205,,181480,,28.4,,25,,31.7,
Income of individuals in 2020,  With employment income,,812715,,421285,,391430,,71.6,,75,,68.3,
Income of individuals in 2020,"    Under $5,000 (including loss)",,95790,,44395,,51395,,11.8,,10.5,,13.1,
Income of individuals in 2020,"    $5,000 to $9,999",,60780,,25900,,34885,,7.5,,6.1,,8.9,
Income of individuals in 2020,"    $10,000 to $19,999",,88650,,38180,,50470,,10.9,,9.1,,12.9,
Income of individuals in 2020,"    $20,000 to $29,999",,69340,,30785,,38555,,8.5,,7.3,,9.8,
Income of individuals in 2020,"    $30,000 to $39,999",,66510,,30265,,36250,,8.2,,7.2,,9.3,
Income of individuals in 2020,"    $40,000 to $49,999",,65030,,31295,,33730,,8,,7.4,,8.6,
Income of individuals in 2020,"    $50,000 to $59,999",,64235,,31095,,33135,,7.9,,7.4,,8.5,
Income of individuals in 2020,"    $60,000 to $69,999",,58175,,29770,,28405,,7.2,,7.1,,7.3,
Income of individuals in 2020,"    $70,000 to $79,999",,48705,,28165,,20540,,6,,6.7,,5.2,
Income of individuals in 2020,"    $80,000 to $89,999",,39985,,24000,,15985,,4.9,,5.7,,4.1,
Income of individuals in 2020,"    $90,000 to $99,999",,36955,,21895,,15060,,4.5,,5.2,,3.8,
Income of individuals in 2020,"    $100,000 and over",,118555,,85550,,33010,,14.6,,20.3,,8.4,
Income of individuals in 2020,"      $100,000 to $124,999",,56030,,36440,,19590,,6.9,,8.6,,5,
Income of individuals in 2020,"      $125,000 and over",,62525,,49105,,13420,,7.7,,11.7,,3.4,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,1134405,,561495,,572905,,100,,100,,100,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,1058260,,523020,,535245,,93.3,,93.1,,93.4,
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,45200,,55200,,37600,,45200,,55200,,37600,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,1058665,,523095,,535575,,93.3,,93.2,,93.5,
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,40400,,48000,,34400,,40400,,48000,,34400,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,962315,,486470,,475840,,84.8,,86.6,,83.1,
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,44400,,54800,,35600,,44400,,54800,,35600,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,819595,,424560,,395035,,72.2,,75.6,,69,
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,46400,,56400,,38000,,46400,,56400,,38000,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,905970,,442230,,463745,,79.9,,78.8,,80.9,
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1620,,1010,,3960,,1620,,1010,,3960,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,88240,,44560,,43675,,7.8,,7.9,,7.6,
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,6200,,5600,,7100,,6200,,5600,,7100,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,1134420,,561455,,572965,,100,,100,,100,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,1058435,,523355,,535080,,93.3,,93.2,,93.4,
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,59000,,71000,,47240,,59000,,71000,,47240,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,1058810,,523440,,535365,,93.3,,93.2,,93.4,
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,48680,,57050,,40480,,48680,,57050,,40480,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,962705,,486855,,475850,,84.9,,86.7,,83.1,
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,58500,,71200,,45520,,58500,,71200,,45520,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,819805,,425125,,394675,,72.3,,75.7,,68.9,
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,58200,,69500,,46040,,58200,,69500,,46040,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,905785,,442680,,463105,,79.8,,78.8,,80.8,
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,6740,,5625,,7810,,6740,,5625,,7810,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,87585,,44280,,43305,,7.7,,7.9,,7.6,
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7860,,6840,,8900,,7860,,6840,,8900,
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,1134420,,561455,,572960,,100,,100,,100,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,375815,,212345,,163475,,33.1,,37.8,,28.5,
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,69500,,78500,,60400,,69500,,78500,,60400,
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,81400,,92200,,67200,,81400,,92200,,67200,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,316180,,149685,,166500,,27.9,,26.7,,29.1,
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,31000,,38400,,26200,,31000,,38400,,26200,
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,42560,,52450,,33680,,42560,,52450,,33680,
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100,,100,,100,,100,,100,,100,
Income of individuals in 2019,  Market income (%),,90.2,,93.4,,85.6,,90.2,,93.4,,85.6,
Income of individuals in 2019,    Employment income (%),,76.4,,79.4,,72,,76.4,,79.4,,72,
Income of individuals in 2019,  Government transfers (%),,9.8,,6.7,,14.3,,9.8,,6.7,,14.3,
Income of individuals in 2019,    Employment insurance benefits (%),,1.1,,0.8,,1.5,,1.1,,0.8,,1.5,
Income of households in 2020,Total - Income statistics for private households - 100% data,26,548620,,,...,,...,,...,,...,,...
Income of households in 2020,  Median total income of household in 2020 ($),,96000,,,...,,...,96000,,,...,,...
Income of households in 2020,  Median after-tax income of household in 2020 ($),,84000,,,...,,...,84000,,,...,,...
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,146750,,,...,,...,,...,,...,,...
Income of households in 2020,      Median total income of one-person households in 2020 ($),,49200,,,...,,...,49200,,,...,,...
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,43200,,,...,,...,43200,,,...,,...
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,401875,,,...,,...,,...,,...,,...
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,117000,,,...,,...,117000,,,...,,...
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,101000,,,...,,...,101000,,,...,,...
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,548625,,,...,,...,,...,,...,,...
Income of households in 2020,  Average total income of household in 2020 ($),,116800,,,...,,...,116800,,,...,,...
Income of households in 2020,  Average after-tax income of household in 2020 ($),,97300,,,...,,...,97300,,,...,,...
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,146710,,,...,,...,,...,,...,,...
Income of households in 2020,      Average total income of one-person households in 2020 ($),,60050,,,...,,...,60050,,,...,,...
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,50200,,,...,,...,50200,,,...,,...
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,401910,,,...,,...,,...,,...,,...
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,137600,,,...,,...,137600,,,...,,...
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,114400,,,...,,...,114400,,,...,,...
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,548620,,,...,,...,100,,,...,,...
Income of households in 2020,"  Under $5,000",,5515,,,...,,...,1,,,...,,...
Income of households in 2020,"  $5,000 to $9,999",,2755,,,...,,...,0.5,,,...,,...
Income of households in 2020,"  $10,000 to $14,999",,4145,,,...,,...,0.8,,,...,,...
Income of households in 2020,"  $15,000 to $19,999",,5775,,,...,,...,1.1,,,...,,...
Income of households in 2020,"  $20,000 to $24,999",,15995,,,...,,...,2.9,,,...,,...
Income of households in 2020,"  $25,000 to $29,999",,17370,,,...,,...,3.2,,,...,,...
Income of households in 2020,"  $30,000 to $34,999",,13590,,,...,,...,2.5,,,...,,...
Income of households in 2020,"  $35,000 to $39,999",,15580,,,...,,...,2.8,,,...,,...
Income of households in 2020,"  $40,000 to $44,999",,17135,,,...,,...,3.1,,,...,,...
Income of households in 2020,"  $45,000 to $49,999",,16700,,,...,,...,3,,,...,,...
